RUL
148.4
100.2
44.8
122.3
190.2
82.6
105.1
74.0
88.8
99.7
94.7
88.3
45.1
36.8
191.8
21.5
120.3
63.4
89.6
144.0
69.2
117.0
62.4
144.6
76.8
193.1
151.3
268.3
175.6
75.3
26.099999999999994
206.8
89.7
169.9
175.4
178.0
13.9
169.6
114.4
55.5
290.0
108.4
64.5
120.6
224.1
54.3
85.1
18.3
45.6
167.8
221.9
193.7
128.3
131.2
60.4
23.3
50.4
52.9
45.4
187.6
57.6
131.8
46.6
48.6
35.5
212.3
45.1
82.2
1.2999999999999972
57.7
88.4
161.8
152.8
19.4
95.6
54.1
41.1
233.1
80.2
225.0
259.3
68.6
60.9
41.4
194.0
57.4
69.5
181.8
161.5
239.4
158.5
37.0
191.5
57.2
190.4
257.6
197.7
102.5
76.7
43.2
151.2
145.1
216.9
63.5
122.0
109.9
106.3
118.1
186.6
254.5
130.2
95.8
29.1
74.4
76.7
35.0
208.7
26.0
59.6
186.5
66.3
97.9
71.3
60.6
22.6
37.2
244.1
137.5
273.2
93.1
52.1
59.2
63.3
63.7
41.8
57.4
105.1
85.5
128.5
160.6
95.8
68.1
186.8
176.0
2.199999999999996
79.0
55.2
31.1
48.4
168.0
205.8
132.4
78.0
203.3
179.7
77.9
34.2
116.1
193.5
72.1
257.0
172.7
183.0
67.5
117.9
65.5
42.900000000000006
42.6
67.6
147.3
116.5
155.2
50.5
95.6
140.1
32.4
18.7
129.8
249.1
243.5
201.9
73.6
32.4
28.5
10.0
43.3
255.9
29.999999999999996
198.4
226.7
34.0
183.8
15.200000000000005
31.1
54.9
64.3
80.1
63.8
300.5
94.6
165.1
92.3
150.1
109.0
165.1
164.4
20.2
76.1
51.2
64.9
134.1
39.4
147.7
36.0
172.8
247.7
92.7
50.3
152.7
57.8
155.8
57.0
70.7
32.1
48.6
101.4
168.7
111.8
25.2
58.2
148.3
22.7
93.2
73.3
85.8
156.6
192.1
79.2
61.0
68.8
177.5
114.6
258.3
52.2
154.6
45.9
41.4
250.0
141.0
13.7
109.6
105.6
220.6
81.3
34.6
76.2
22.8
41.6
37.1
105.9
26.2
269.3
79.9
152.5
201.9
214.7
140.2
110.6
69.6
96.1
198.4
171.0
85.7
48.6
124.1
48.1
82.9
22.2
80.2
185.7
119.1
182.0
57.2
152.2
48.8
132.7
103.7
61.6
51.1
193.3
85.4
279.1
173.5
156.6
103.0
208.8
33.7
114.9
10.4
68.3
131.4
71.2
84.4
48.2
10.900000000000006
33.2
92.5
134.2
59.8
197.4
89.1
77.1
86.5
18.3
87.5
133.4
162.2
94.2
281.5
17.200000000000003
62.1
0.3999999999999986
49.1
52.3
50.8
70.1
73.4
53.5
44.8
80.4
56.1
96.6
22.7
196.6
96.5
56.8
208.8
58.9
3.700000000000003
76.0
37.2
22.3
234.4
76.5
24.2
19.9
85.9
156.6
114.5
24.3
34.7
89.7
145.4
166.9
83.3
142.3
157.8
212.7
119.0
146.7
